Gene	FDR
ENSG00000014914	0.00428999830665
ENSG00000186918	0.00021451387197
ENSG00000139842	0.001277700046645
ENSG00000136108	0.012529612774484
ENSG00000229341	0.004002642051934
ENSG00000229353	0.004002642051934
ENSG00000236221	0.004002642051934
ENSG00000231608	0.004002642051934
ENSG00000206258	0.004002642051934
ENSG00000236236	0.004002642051934
ENSG00000233323	0.004002642051934
ENSG00000168477	0.004002642051934
ENSG00000100311	0.000119023676444
ENSG00000148154	0.000440697398518
ENSG00000285182	0.006583983761335
ENSG00000109920	0.006583983761335
ENSG00000128563	0.01045725760936
ENSG00000164136	0.001333757928296
ENSG00000104549	0.000317209715618
ENSG00000115310	0.001047376372137
ENSG00000124831	0.000195790302546
ENSG00000122884	5.89E-05
ENSG00000117394	0.00866713535008
ENSG00000013441	0.00034741121369
ENSG00000108551	0.000214314386086
ENSG00000152952	2.41E-05
ENSG00000020577	2.4E-05
ENSG00000141524	0.012375845060732
ENSG00000282958	0.000201279226675
ENSG00000125944	0.000201279226675
ENSG00000142949	0.000120996294232
ENSG00000134531	0.003017089017852
ENSG00000258818	0.00016761657885
ENSG00000181458	1.45E-05
ENSG00000100625	0.013603864166184
ENSG00000141622	0.002215637748307
ENSG00000283900	7.24E-05
ENSG00000213923	7.24E-05
ENSG00000205683	0.001417232144839
ENSG00000187193	0.000341235140843
ENSG00000133103	2.4E-05
ENSG00000177119	2.6E-05
ENSG00000069399	0.000127748141959
ENSG00000163739	2.16E-05
ENSG00000114423	6.18E-05
ENSG00000150961	0.000375078176266
ENSG00000241697	0.006918975872933
ENSG00000158292	0.000142071687211
ENSG00000119950	3.99E-05
ENSG00000153234	0.002743577948102
ENSG00000141738	0.000569643584074
ENSG00000101255	0.001397091891839
ENSG00000117525	0.013525269544606
ENSG00000126458	1.1E-05
ENSG00000179335	9.28E-05
ENSG00000104140	0.005454399119248
ENSG00000164975	0.00242899168093
ENSG00000183230	0.045835618396411
ENSG00000183044	0.00510538231687
ENSG00000177181	0.002101881116669
ENSG00000135750	0.00018363115419
ENSG00000087460	0.00573167005624
ENSG00000080603	0.005181867998164
ENSG00000204524	0.001726535070826
ENSG00000116514	0.001097075975091
ENSG00000168646	8.64E-05
ENSG00000186480	2.4E-05
ENSG00000143761	0.003200408124206
ENSG00000178038	0.000195699379698
ENSG00000186815	0.02368019258066
ENSG00000140939	0.003294314337916
ENSG00000283900	0.001031247646304
ENSG00000213923	0.001031247646304
ENSG00000123240	0.000173050696417
ENSG00000121578	0.000829808780103
ENSG00000104765	3.13E-05
ENSG00000152409	0.00014260838572
ENSG00000145901	1.99E-05
ENSG00000119899	2.77E-05
ENSG00000285438	0.001495774964767
ENSG00000171056	0.001495774964767
ENSG00000074410	0.000513993863466
ENSG00000170322	2.36E-05
ENSG00000140044	0.006509328046459
ENSG00000145390	0.000182492529934
ENSG00000169439	0.001814332859525
ENSG00000014914	0.000442081907919
ENSG00000148154	2.36E-05
ENSG00000198768	0.004518365817669
ENSG00000099875	3.61E-05
ENSG00000142156	6.27E-05
ENSG00000114354	0.001515926076284
ENSG00000176407	1.51E-05
ENSG00000281089	0.006722303349681
ENSG00000085978	0.006722303349681
ENSG00000158373	0.001212861468782
ENSG00000133639	3.78E-05
ENSG00000274611	1.99E-05
ENSG00000131037	0.003221018383819
ENSG00000169213	0.000151453762593
ENSG00000137440	0.000181056118076
ENSG00000104765	3.15E-05
ENSG00000204524	0.009422603033283
ENSG00000067082	0.000160798559605
ENSG00000163872	0.00302656833087
ENSG00000130635	0.001643468589235
ENSG00000187325	0.002533641614279
ENSG00000081277	0.044104214378302
ENSG00000142173	0.000663845604562
ENSG00000164683	0.000330594073576
ENSG00000163710	0.000180842799648
ENSG00000176142	3.37E-05
ENSG00000159216	0.039626903503961
ENSG00000130449	0.00074629678435
ENSG00000104881	0.000623187193302
ENSG00000243414	9E-05
ENSG00000083844	0.000371377568421
ENSG00000136689	0.019252062109334
ENSG00000142156	0.002689708578224
ENSG00000123562	0.00366959107557
ENSG00000148154	2.87E-05
ENSG00000104549	6.85E-05
ENSG00000142634	0.0002333555494
ENSG00000136152	0.00155705643147
ENSG00000152104	0.005752602604057
ENSG00000154734	0.000119021957826
ENSG00000104756	1.82E-05
ENSG00000075413	1.44E-05
ENSG00000142173	0.000105294729741
ENSG00000131016	6.91E-05
ENSG00000176171	0.000252146980989
ENSG00000109046	1.87E-05
ENSG00000101199	0.000113819059176
ENSG00000175591	0.000137961280836
ENSG00000215788	0.007051579794201
ENSG00000244754	0.0074825879529
ENSG00000130066	6.87E-05
ENSG00000151694	0.000293158370017
ENSG00000198380	3.18E-05
ENSG00000137942	1.87E-05
ENSG00000114354	0.036211576507283
ENSG00000180596	0.000582412775129
ENSG00000274290	0.000582412775129
ENSG00000277224	0.000582412775129
ENSG00000273802	0.000582412775129
ENSG00000278588	0.000582412775129
ENSG00000081320	0.016182053524512
ENSG00000121691	0.00179584775776
ENSG00000265681	0.003036694815282
ENSG00000179820	0.000941041660748
ENSG00000144747	6.93E-05
ENSG00000196531	0.010160230020629
ENSG00000198625	0.010853883494862
ENSG00000074410	0.005588616527698
ENSG00000100504	3.48E-05
ENSG00000185950	0.00169268233139
ENSG00000177125	0.001953047194511
ENSG00000163697	0.000256667897471
ENSG00000288401	0.015125915723484
ENSG00000085733	0.015125915723484
